,Influencer,Radio,SocialMedia,TV,Sales
1036,Nano,18.53215998,2.698179495,71.0,246.8109839
1037,Macro,21.82701759,1.183157336,80.0,284.2934679
1038,Macro,2.589298485,4.232246203,38.0,138.1027677
1039,Micro,17.63131395,5.079566756,32.0,114.6591031
1040,Micro,14.86636304,1.188064861,43.0,151.7736207
1041,Mega,28.93749129,5.478686281,98.0,341.5305096
1042,Micro,7.646082707,2.037287337,40.0,141.5940632
1043,Nano,19.84397609,1.989410201,85.0,302.8650743
1044,Mega,15.99054487,2.975989378,44.0,157.3036932
1045,Mega,7.92425546,1.392122965,20.0,72.9067845
1046,Mega,32.21629028,5.011827563,98.0,346.2070486
1047,Macro,27.14371231,5.714889719,77.0,271.3634202
1048,Micro,24.18854494,5.133802599,77.0,280.5497002
1049,Mega,26.32104188,4.477032317,90.0,325.7829853
1050,Nano,8.781974568,3.023611644,38.0,131.7340053
1051,Micro,19.56867636,4.721144433,61.0,214.0505181
1052,Mega,31.63231852,6.437839912,100.0,351.8656104
1053,Nano,23.34851007,1.951877827,66.0,235.1678552
1054,Nano,20.47557359,4.375098213,79.0,276.5465088
1055,Macro,30.20696161,8.387590266,85.0,297.8406918
1056,Macro,0.417441168,1.904980213,31.0,111.3940251
1057,Nano,22.86918182,6.281662732,58.0,208.923077
1058,Nano,15.77276268,1.943856468,21.0,70.43434129
1059,Micro,34.15101221,7.847444243,91.0,329.7585643
1060,Nano,2.400931141,1.783291031,27.0,95.82210034
1061,Mega,10.89003569,3.371902326,30.0,104.4081903
1062,Micro,21.04641738,4.585300693,79.0,279.0002133
1063,Nano,29.63068625,7.527312834,80.0,285.7209185
1064,Mega,16.53246746,1.140112518,39.0,135.1027922
1065,Micro,11.33544306,0.147556766,36.0,134.9564752
1066,Macro,20.08311019,3.352908382,51.0,183.5747596
1067,Macro,12.66874316,2.059276863,23.0,82.44643572
1068,Macro,11.59153516,1.284588077,32.0,115.6143077
1069,Macro,15.5239034,2.819391995,30.0,104.0397523
1070,Macro,24.48263709,3.48394074,62.0,222.8035563
1071,Mega,36.12313135,4.584246415,81.0,289.653414
1072,Micro,23.96574055,6.276644732,56.0,197.9449499
1073,Micro,37.09719741,5.853243068,92.0,325.2583679
1074,Mega,2.528946519,1.071299959,13.0,44.47479316
1075,Macro,23.49099467,6.384877693,84.0,300.4119733
1076,Micro,28.16013453,5.626379201,85.0,303.1471178
1077,Micro,19.53226006,3.961231768,75.0,268.4892435
1078,Nano,11.40108428,5.818696764,41.0,145.4168513
1079,Macro,25.76614235,4.75250808,71.0,256.2236007
1080,Macro,10.37265122,2.055377225,28.0,97.55871052
1081,Micro,10.17876113,0.774718817,46.0,162.0752637
1082,Macro,6.508500471,0.278443512,34.0,121.0297707
1083,Micro,7.772636971,0.026536086,27.0,91.73914461
1084,Micro,13.41725958,6.440215299,30.0,102.6531694
1085,Micro,33.33366031,6.90988426,95.0,343.089786
1086,Mega,13.97282035,1.019281898,34.0,122.689542
1087,Nano,1.969917453,0.236860685,20.0,72.1769941
1088,Macro,26.940963,6.458130779,86.0,306.4351806
1089,Nano,7.154535323,0.92859048,38.0,134.7922876
1090,Macro,18.14144822,6.39581212,66.0,240.2914041
1091,Nano,5.573783213,0.880543705,25.0,85.23426956
1092,Macro,16.08347915,1.731768931,44.0,152.1679478
1093,Nano,10.3847837,2.257493687,61.0,223.6785915
1094,Nano,34.17860922,5.927940808,69.0,240.0350217
1095,Mega,31.57443225,5.668187006,76.0,273.0425221
1096,Nano,30.98092574,4.599569215,89.0,318.0452073
1097,Micro,1.877361105,1.31866338,11.0,36.9718167
1098,Nano,26.8080032,5.01968692,88.0,314.6571263
1099,Nano,5.176451181,3.561284656,27.0,100.1458568
1100,Micro,20.46492633,4.853305007,65.0,230.5179505
1101,Mega,21.5039439,4.735400459,48.0,168.0564913
1102,Mega,7.639383814,0.025406846,48.0,171.0015671
1103,Macro,15.49815546,0.169996911,46.0,166.9833119
1104,Mega,2.197709315,1.486695536,10.0,31.40226244
1105,Macro,16.3660306,1.939179561,66.0,235.0669849
1106,Nano,16.58242049,2.233249823,42.0,149.8920675
1107,Mega,24.04424273,3.088346775,71.0,247.7805991
1108,Micro,24.64687638,6.444050052,51.0,189.4984681
1109,Nano,32.00621358,5.572236777,81.0,287.9609379
1110,Nano,5.139773121,4.751055878,10.0,38.051637
1111,Nano,9.687797959,3.394478002,21.0,78.44892035
1112,Nano,20.72620775,4.608829289,83.0,292.3664313
1113,Macro,27.15106798,3.544254764,96.0,337.9430533
1114,Macro,24.57464264,6.190653254,83.0,293.2635124
1115,Micro,27.81758246,6.171058415,84.0,298.3224774
1116,Nano,11.87274594,2.349050432,56.0,201.742012
1117,Mega,25.51805538,2.738878738,82.0,288.5305831
1118,Macro,17.94359103,0.169790571,45.0,158.7647386
1119,Nano,6.397648245,0.151215719,21.0,70.77050774
1120,Micro,10.84335506,1.303214039,45.0,156.8679569
1121,Micro,5.104034315,2.428498516,18.0,60.2661565
1122,Macro,8.898194437,2.816417418,42.0,144.07533
1123,Mega,5.363569955,0.89945807,36.0,127.6646972
1124,Mega,19.20198497,2.827452097,38.0,131.7523427
1125,Micro,19.7220372,4.378775534,55.0,195.5614761
1126,Micro,20.91410383,1.168951922,61.0,221.3886753
1127,Micro,18.89763578,4.219195092,67.0,242.9308757
1128,Mega,33.9560652,7.22447439,96.0,344.2504657
1129,Micro,25.36070505,3.636620364,74.0,260.1040896
1130,Micro,24.82051231,3.394682094,54.0,191.0424682
1131,Mega,16.07763967,2.392235948,64.0,224.5155382
1132,Macro,15.40876685,1.935104705,37.0,133.6114088
1133,Mega,20.83503638,3.654609898,55.0,199.5215959
1134,Nano,8.907131624,3.91181952,28.0,101.3116574
1135,Micro,20.92488055,6.059807429,58.0,207.3106406
1136,Mega,8.447034198,1.086840262,44.0,164.238952
1137,Nano,23.42012989,2.281383027,74.0,262.5986449
1138,Mega,15.61022141,3.431273747,49.0,175.9628547
1139,Macro,1.61910271,2.938538282,17.0,57.90089101
1140,Micro,27.07432784,7.76501425,92.0,326.6822053
1141,Nano,12.22453623,6.078835059,45.0,159.171002
1142,Micro,20.13539246,4.956791317,40.0,142.7437996
1143,Nano,13.85687212,0.150053364,49.0,173.7564969
1144,Macro,34.72354863,6.137642552,89.0,315.2344468
1146,Macro,18.81042973,0.847597289,40.0,139.8707439
1147,Macro,20.58313089,3.181661603,88.0,312.2713228
1148,Nano,6.082044887,1.15443211,14.0,49.04490098
1149,Micro,6.180146182,1.886427524,42.0,145.2658074
1150,Micro,12.90576954,0.090806236,38.0,136.2445207
1151,Macro,12.97856308,1.005704299,56.0,204.3764128
1152,Nano,15.76697775,3.123576476,55.0,197.7312739
1153,Nano,27.6452302,5.916649652,84.0,300.9241889
1154,Micro,30.35464777,7.753122794,85.0,305.6120608
1155,Macro,25.58280593,4.020770888,67.0,238.6030704
1156,Nano,7.197847026,1.394325609,17.0,59.49515943
1157,Nano,15.12646596,3.792188111,22.0,86.80395604
1158,Mega,5.040121601,0.704360749,10.0,36.86056147
1159,Nano,27.25291238,3.938099223,96.0,341.9124151
1160,Macro,14.37856572,0.241241209,39.0,141.1120057
1161,Micro,22.81691505,6.280742013,64.0,226.5901704
1162,Micro,13.09853245,5.210825936,60.0,215.5833592
1163,Micro,12.37094913,0.918581511,55.0,194.6287816
1164,Micro,23.74241823,2.585252416,57.0,206.4798298
1165,Macro,11.22170396,1.626544308,56.0,200.347425
1166,Mega,14.17801327,3.769634351,45.0,158.5393851
1167,Micro,6.636054358,0.838317446,12.0,43.42825766
1168,Micro,0.34573089,0.787325148,20.0,71.31864882
1169,Micro,26.86626542,5.435402212,92.0,328.4437938
1170,Nano,4.477489767,1.52846934,22.0,71.64559408
1171,Macro,22.85824494,6.146319119,70.0,248.0506236
1172,Nano,16.77650201,0.471002112,58.0,210.880927
1173,Macro,15.50255633,4.69488484,46.0,161.7826384
1174,Mega,15.51307679,1.626380158,43.0,155.0412374
1175,Macro,22.17656835,7.68073193,63.0,223.4236503
1176,Macro,9.961821714,4.068030765,47.0,164.214738
1177,Micro,22.06340243,3.577571811,65.0,229.2522388
1178,Mega,8.208255183,4.305739085,49.0,172.960982
1179,Mega,8.592102996,4.880310779,15.0,54.88491943
1180,Micro,9.406938289,4.527243502,27.0,96.75122632
1181,Macro,20.66269354,2.867545084,86.0,312.4340082
1182,Mega,34.22011288,4.474838371,98.0,350.7275252
1183,Mega,5.117508649,2.209701443,24.0,83.75148225
1184,Micro,4.782495242,1.413944986,13.0,46.90197979
1185,Micro,2.075971434,1.435038997,16.0,52.4151192
1186,Mega,12.05716495,1.448221333,23.0,84.12020878
1187,Micro,14.74315816,5.086102811,43.0,152.6018822
1188,Nano,26.23145593,3.893304561,71.0,252.8537271
1189,Micro,1.056114844,0.748769308,18.0,62.49807961
1190,Mega,35.16812138,6.795153993,95.0,345.0030328
1191,Micro,28.1170026,5.894168882,74.0,260.1810487
1192,Nano,32.27082677,1.256186655,85.0,300.0486748
1193,Mega,8.643650064,3.579154088,27.0,99.479876
1194,Nano,0.848264479,1.592571775,24.0,83.77156783
1195,Nano,14.60464647,1.769477138,64.0,220.304746
1196,Micro,10.48745064,2.202956943,40.0,142.6127026
1197,Micro,17.9879371,3.817063176,63.0,222.9096238
1198,Macro,17.03355173,4.427632709,36.0,130.9960832
1199,Micro,0.894522052,1.024989237,24.0,85.81164773
1200,Mega,25.70476151,2.284896577,80.0,281.5414585
1201,Nano,17.29712291,2.14164632,39.0,135.3643958
1202,Mega,3.443825411,0.082932606,14.0,52.3609775
1203,Micro,32.4386176,4.859321808,75.0,269.5336088
1204,Mega,6.128436597,1.455540155,37.0,130.2172702
1205,Micro,17.84312218,2.009779488,38.0,130.3708814
1206,Macro,6.233073586,3.695362555,12.0,45.07483438
1207,Mega,26.19652482,5.181134485,80.0,286.7701102
1208,Mega,24.92555148,4.999090743,91.0,322.3014359
1209,Nano,14.94411052,1.452690809,27.0,98.6526218
1210,Micro,23.68041523,3.618129755,75.0,266.3690338
1211,Nano,19.96957206,4.491042639,41.0,148.2586363
1212,Nano,6.870163575,5.127572518,20.0,69.69781948
1213,Macro,11.85393949,3.008452988,11.0,37.70652904
1214,Mega,18.14052759,1.952495587,67.0,239.1708881
1215,Mega,31.18586055,7.488026788,82.0,291.314666
1216,Micro,14.39237842,1.240397092,46.0,162.9001448
1217,Mega,15.96230199,4.823873221,67.0,235.9387612
1218,Mega,8.228726375,1.59572773,21.0,72.91644672
1219,Mega,15.83963977,5.286098271,48.0,170.4486331
1220,Mega,8.338703112,1.45363758,36.0,133.2701918
1221,Mega,26.72353586,3.600530083,95.0,333.9225156
1222,Micro,23.51262647,5.371989647,73.0,265.8966362
1223,Macro,10.70299962,2.756141184,64.0,231.7348707
1224,Macro,7.100091534,1.5936932,25.0,89.81015562
1225,Mega,6.409452082,3.61896382,42.0,144.0515004
1226,Nano,17.54913506,3.5932496,47.0,166.1240988
1227,Macro,27.01392648,4.050401703,81.0,284.7887164
1228,Nano,7.753853243,0.646902083,37.0,128.5775395
1229,Mega,22.07496465,3.662349016,43.0,153.0649097
1230,Mega,18.10614293,3.746012095,64.0,222.3419275
1231,Nano,24.2342799,3.802225298,50.0,172.7968154
1232,Mega,17.92814765,2.125619697,85.0,305.3832807
1233,Mega,14.82608899,5.056452865,37.0,133.9665006
1234,Micro,36.78144812,5.944544971,87.0,310.0064665
1236,Nano,28.32811978,2.4669255,88.0,313.0482667
1237,Mega,2.298248107,2.435478085,10.0,33.59144825
1238,Micro,14.68411591,0.975862762,24.0,87.8650301
1239,Micro,11.25013604,3.18319928,38.0,134.5871144
1240,Mega,38.26367194,3.918182853,99.0,348.837593
1241,Mega,22.70338207,2.302985634,33.0,118.8740489
1242,Mega,24.07376287,3.314484216,57.0,208.1833927
1243,Mega,14.31731074,1.755859447,72.0,256.1705613
1244,Nano,11.92270713,6.033385743,29.0,103.8744139
1245,Micro,21.84297247,4.621465773,40.0,147.4245875
1246,Micro,5.002416953,3.00718727,17.0,59.24360112
1247,Mega,33.16691487,4.802682588,96.0,345.054354
1248,Nano,17.92129715,2.374454098,46.0,167.4756663
1249,Mega,17.26553001,3.183217517,57.0,205.6516972
1250,Nano,16.01664419,2.893217344,36.0,126.1776343
1251,Macro,9.457616913,1.857779697,42.0,150.8827395
1252,Macro,29.0968972,6.041618334,90.0,322.8363326
1253,Macro,8.25489387,3.241749256,18.0,62.38868798
1254,Nano,20.69590176,7.122475601,51.0,179.782486
1255,Nano,15.02799004,2.260928448,28.0,94.77142622
1256,Mega,11.90949864,3.863594664,44.0,152.2200272
1257,Micro,0.544774758,0.584802079,18.0,61.92842166
1258,Macro,12.06842573,0.85156322,38.0,133.2952269
1259,Macro,18.47026586,3.450908225,65.0,230.4452322
1260,Macro,13.38002348,5.391596379,33.0,113.6807083
1261,Macro,25.85526144,5.046778104,74.0,260.9790138
1262,Nano,4.981465892,3.017010069,21.0,75.36215456
1263,Nano,29.34550253,3.295645315,74.0,262.0124404
1264,Macro,10.83821968,3.212553047,40.0,143.3820862
1265,Macro,30.97274726,3.950369298,94.0,336.6023006
1266,Micro,24.56962198,3.306948842,75.0,261.289447
1267,Mega,18.97689884,2.309437067,61.0,215.3913543
1268,Nano,35.31185933,5.238633498,92.0,329.0311993
1269,Macro,33.89927206,7.955180603,99.0,352.8999567
1270,Micro,26.21474469,5.257853498,68.0,237.886004
1271,Macro,19.99560462,4.136097691,42.0,145.7346993
1272,Micro,16.52948801,3.351418583,63.0,223.6950619
1273,Mega,28.80884454,6.73194589,75.0,268.791677
1274,Macro,17.87852819,6.684451448,15.0,50.73559898
1275,Mega,21.10566879,7.20966175,49.0,170.0457399
1276,Nano,18.92735337,7.016310108,66.0,232.6205345
1277,Nano,6.900105047,0.7423989,31.0,111.8268837
1278,Macro,20.7459852,4.241658945,56.0,202.9861934
1279,Micro,20.11177512,3.804180277,54.0,194.1291713
1280,Micro,12.23406316,1.659737604,60.0,214.1917541
1281,Mega,5.121271546,0.875164961,35.0,122.8236586
1282,Micro,8.412303495,3.642783793,50.0,177.1283951
1283,Macro,14.42898333,0.246283393,37.0,131.29209
1284,Micro,13.63285082,2.890436804,39.0,136.8019191
1285,Nano,18.40492335,2.688172679,28.0,102.3886217
1286,Macro,26.92871169,0.550205659,87.0,306.9884652
1287,Macro,23.9098499,5.37298311,61.0,218.092673
1288,Micro,8.588407255,3.068645816,40.0,140.1615469
1289,Macro,27.50669513,7.241425458,79.0,285.4800485
1290,Mega,0.216101168,0.753242703,11.0,41.39651524
1291,Nano,27.51236249,1.032765641,80.0,283.416972
1292,Micro,0.491153398,1.505058922,11.0,34.93300225
1293,Micro,34.15861088,5.82074361,94.0,330.640837
1294,Micro,25.04782863,3.111012701,84.0,295.4963766
1295,Macro,7.046414004,0.056054843,21.0,72.07541671
1296,Micro,10.32754546,1.40656398,16.0,57.40985369
1297,Mega,20.84941338,2.469887527,71.0,253.4622592
1298,Nano,0.975331234,0.409356653,27.0,88.80402133
1299,Micro,28.88785755,5.388404394,59.0,207.3302796
1300,Nano,13.1533711,3.584616882,22.0,79.69777425
1301,Mega,21.07836064,3.607061612,65.0,232.2761831
1302,Macro,3.306779995,2.690659024,28.0,99.48425179
1303,Macro,14.87396622,1.638303876,49.0,174.200192
1304,Mega,20.00446791,6.081970669,61.0,220.1068272
1305,Nano,24.68121877,6.002450357,72.0,256.0372024
1306,Macro,8.158783618,1.846245517,27.0,100.2771075
1307,Mega,12.39492222,0.742938135,50.0,176.9281077
1308,Micro,33.69096007,7.889353903,79.0,279.6918286
1309,Micro,17.73126576,1.135948669,57.0,200.1080526
1310,Macro,16.39876978,1.569718706,49.0,171.3306322
1311,Mega,9.578543177,2.141996655,20.0,72.31156329
1312,Nano,8.856135087,3.232468215,59.0,214.291665
1313,Micro,16.74509293,1.373291629,51.0,184.8950088
1314,Mega,29.06907952,3.380965049,65.0,234.3780869
1315,Macro,9.42171819,0.760326336,54.0,190.0490835
1316,Mega,11.26567713,0.144117014,30.0,102.4712089
1317,Mega,9.266865633,4.040010034,47.0,164.6380952
1318,Nano,22.37030589,0.171148051,73.0,257.6727806
1319,Macro,29.8950106,6.500131863,94.0,333.7007365
1320,Micro,6.492418979,1.307754019,10.0,34.0463585
1321,Nano,2.477590756,5.557077517,19.0,68.63176182
1322,Macro,19.57607017,4.32634078,79.0,279.4144408
1323,Macro,40.3813996,5.407997745,94.0,331.4446076
1324,Nano,23.88150599,2.832255371,65.0,228.577409
1325,Micro,33.31778758,5.06205685,80.0,284.0248239
1326,Micro,9.255560345,3.540823973,24.0,85.37271907
1327,Mega,5.785759307,3.368526918,35.0,127.2212975
1328,Micro,8.720237277,1.05124005,27.0,100.6415713
1329,Micro,34.15632865,6.982952679,98.0,347.8305464
1330,Macro,6.134131482,2.619106545,45.0,160.3981526
1331,Mega,15.47539803,4.828720171,29.0,106.3468306
1332,Macro,41.1538091,4.31660016,100.0,353.617947
1333,Macro,28.76670512,5.585103137,99.0,352.3179119
1334,Micro,17.75660719,4.547851426,16.0,55.40369343
1335,Micro,14.84955816,6.545391968,51.0,181.6616002
1336,Macro,22.15855916,2.197680767,66.0,234.3288131
1337,Micro,12.99793945,3.006704771,41.0,147.3867563
1338,Mega,12.14629522,1.992383015,35.0,122.9577834
1339,Macro,37.46822321,7.194404457,99.0,349.4961687
1340,Micro,10.41031566,1.834639961,15.0,51.78609705
1342,Macro,26.93997283,2.332437144,72.0,257.1804575
1343,Nano,2.797290618,4.83886776,15.0,48.86115001
1344,Nano,3.220673901,2.446239991,13.0,45.23135362
1345,Nano,17.07116687,3.800921079,61.0,222.5963753
1346,Nano,9.170028162,1.012183081,31.0,110.5825006
1347,Macro,15.2413917,0.114189919,58.0,209.1489884
1348,Macro,7.327697332,3.236219566,16.0,58.13798394
1349,Macro,14.05805349,1.497131726,54.0,195.7694205
1350,Macro,32.98908421,5.114303431,90.0,321.266614
1351,Micro,0.683476114,0.765877712,12.0,43.57911654
1352,Micro,24.66295001,4.291873948,59.0,209.1876697
1353,Macro,11.16675392,2.370877592,17.0,63.48794091
1354,Micro,23.53730258,4.940351212,60.0,213.9107918
1355,Mega,5.114304619,0.260751503,17.0,61.81393577
1356,Micro,6.831105212,1.051652994,25.0,94.28890228
1357,Nano,4.01212603,0.427108804,32.0,112.2035442
1358,Macro,20.27755079,0.747904517,47.0,169.8875281
1359,Micro,20.46156446,5.264913626,57.0,197.1858386
1360,Mega,13.68967669,3.947498786,48.0,173.0984379
1361,Micro,14.44136866,0.342016761,21.0,74.21648745
1362,Mega,9.569824803,2.216601931,27.0,97.36011862
1364,Micro,1.119933449,2.024287502,23.0,84.37002181
1365,Nano,2.609402156,0.055425098,18.0,62.00526615
1366,Micro,2.433254458,2.478694936,12.0,42.77124819
1367,Nano,25.70916199,5.579523367,81.0,290.5860748
1368,Micro,20.65364197,3.097761704,60.0,210.8924638
1369,Micro,29.30608808,2.303326934,93.0,327.771081
1370,Micro,18.85597236,2.305723529,47.0,167.6367081
1371,Micro,8.939084838,1.008130201,10.0,34.10189493
1372,Mega,20.1870126,5.001959098,55.0,197.6712502
1373,Micro,37.59808506,5.780036656,78.0,277.0929501
1374,Macro,26.98790612,3.081278114,80.0,284.7262777
1375,Macro,33.32069261,3.488541517,95.0,340.9498167
1376,Mega,16.94974752,1.348300822,51.0,176.0068363
1377,Micro,24.90507404,2.458070702,70.0,249.4106969
1378,Micro,31.8388312,3.84892856,83.0,292.0247067
1379,Mega,20.74153565,4.51238522,70.0,243.5008161
1380,Nano,36.90254427,7.630973429,92.0,326.2296412
1381,Macro,17.14796237,3.407461351,71.0,255.9716288
1382,Mega,12.54786817,2.389338867,16.0,60.38358214
1383,Micro,26.70268754,3.575561714,89.0,315.9003207
1384,Micro,20.19729211,1.344451932,61.0,214.7407046
1385,Nano,20.1474308,4.116821554,51.0,178.5935732
1386,Micro,20.71769224,2.66330205,57.0,209.0289496
1387,Mega,20.04563677,3.7938089,37.0,132.2091868
1388,Micro,4.597245997,1.669253333,16.0,56.07567864
1389,Macro,6.151246864,1.483987622,17.0,60.76229385
1390,Nano,13.99501231,0.845058595,43.0,152.4241128
1391,Nano,7.083959569,1.081620709,36.0,124.1332061
1392,Mega,23.72064054,0.690473124,89.0,321.3230185
1393,Mega,16.10664487,0.423792124,33.0,116.4897309
1394,Macro,34.41226462,1.939969763,98.0,352.3803252
1395,Micro,8.303409472,2.058523812,16.0,52.87884782
1396,Macro,19.17142898,4.820069297,60.0,211.203686
1397,Micro,12.16897263,1.785034944,40.0,140.9139961
1398,Macro,16.08778914,5.060162938,62.0,215.7297595
1399,Micro,10.81384681,2.310877745,26.0,95.28065047
1400,Nano,21.28876131,3.213254208,68.0,239.4136594
1401,Micro,24.74836655,2.607544268,85.0,306.4206717
1402,Mega,16.64673559,6.234787461,59.0,210.121506
1403,Nano,24.93153398,5.478962155,62.0,216.9365271
1404,Macro,21.11999146,5.703028235,60.0,209.3268298
1405,Micro,28.85380575,6.217753837,77.0,279.7655483
1406,Micro,30.0181942,4.184199312,79.0,283.5943902
1407,Mega,20.50407599,3.431358073,58.0,208.9592114
1408,Mega,34.36913284,5.77397264,100.0,358.8975626
1409,Micro,23.9546322,3.203461356,80.0,283.78129
1410,Micro,9.047571207,1.340007941,15.0,57.4053155
1411,Macro,20.74650679,1.918559126,73.0,262.8661923
1413,Micro,9.556845464,1.356011738,41.0,139.9053476
1414,Macro,29.649119,5.09171967,96.0,343.1144234
1415,Mega,28.72454528,6.334771996,97.0,348.1096475
1416,Nano,20.68293062,1.912705682,59.0,209.2848034
1417,Macro,14.31611675,3.134427989,60.0,215.4557751
1418,Mega,17.82159027,2.732126315,49.0,175.8979831
1419,Micro,10.2124244,0.104238928,23.0,83.19717896
1420,Nano,24.45854148,4.009270923,76.0,266.413766
1421,Macro,8.062971378,2.409346229,38.0,132.3142815
1422,Nano,2.353887518,1.093828271,24.0,81.69957779
1423,Macro,20.31568063,1.682342275,83.0,298.706397
1424,Micro,16.56332672,3.969570171,53.0,189.9324946
1425,Nano,8.183954068,0.147169499,33.0,114.2039293
1426,Nano,19.33747589,0.742523265,33.0,114.0368952
1427,Macro,31.24781296,7.63806843,93.0,331.006228
1428,Micro,22.69716459,6.146138462,61.0,216.0364765
1429,Mega,21.50116376,2.810213152,67.0,236.1821108
1430,Mega,8.283163563,1.257285088,49.0,177.4436895
1431,Nano,20.40428624,2.217787717,90.0,322.2209951
1432,Nano,17.02750719,3.249834162,69.0,244.8532522
1433,Mega,7.789761193,0.288511704,22.0,79.85053634
1434,Nano,20.69486154,3.953574081,55.0,192.682492
1435,Macro,16.67482871,1.329460183,68.0,242.9898876
1436,Nano,27.15924867,6.883559609,77.0,275.9579113
1437,Macro,25.92397364,4.101003394,70.0,249.0485731
1438,Micro,17.01736977,3.049292563,28.0,98.52768262
1439,Nano,11.95566454,3.206331913,32.0,115.6169326
1440,Nano,36.0042875,6.299889469,83.0,295.2811812
1441,Micro,16.43039265,0.629930468,39.0,140.2820132
1442,Mega,37.63339784,3.593898692,94.0,337.8500686
1443,Mega,14.85751537,4.283919463,39.0,142.9248859
1444,Macro,17.88145952,0.076059762,48.0,169.2278032
1445,Nano,29.04890683,1.976047337,83.0,287.2446931
1446,Micro,34.76307368,3.207630038,98.0,347.2449302
1447,Nano,26.57564178,2.874401986,73.0,260.1839205
1448,Mega,13.39621739,4.181491721,47.0,164.7607918
1449,Micro,17.21377371,3.625658422,59.0,213.9776583
1450,Mega,13.78107412,1.250244985,43.0,150.938614
1451,Mega,23.44360429,3.951207434,66.0,237.7629107
1452,Mega,6.171299414,2.248700745,10.0,37.09921372
1453,Mega,13.81708859,2.491412135,54.0,193.0901217
1454,Macro,13.022179,0.776760663,24.0,84.8192448
1455,Nano,20.82910512,3.906481634,52.0,182.7487325
1456,Mega,27.59973089,5.084562862,77.0,277.7194554
1457,Nano,20.21722551,6.875922114,61.0,216.6811536
1458,Nano,38.86435129,2.621418947,88.0,311.1146946
1459,Nano,30.29945976,5.942147048,92.0,328.3491751
1460,Mega,16.53025145,2.138833994,36.0,125.6101586
1461,Macro,26.01281569,3.027266611,84.0,303.1964247
1462,Mega,31.26698648,5.332790413,94.0,339.190205
1463,Micro,36.1004354,4.332061718,91.0,319.9056448
1464,Nano,11.1103027,1.609824309,21.0,84.62406262
1465,Micro,18.75537671,4.499500158,70.0,256.2428753
1466,Nano,30.18997846,3.43325727,84.0,302.0929048
1467,Mega,10.79356441,2.557924297,24.0,79.26863682
1469,Nano,7.444383355,5.103530387,13.0,44.05096813
1470,Nano,7.578230065,1.031606867,21.0,76.5992176
1471,Macro,31.73905151,6.53042334,100.0,353.251334
1472,Micro,23.59569776,4.519114653,76.0,267.7402836
1473,Nano,32.88272902,3.497704311,67.0,241.3945829
1474,Nano,24.18800586,5.899739191,73.0,264.2218327
1475,Macro,12.01841398,4.143639285,25.0,86.43456078
1476,Nano,17.77730935,3.588287267,23.0,79.41889491
1477,Macro,8.572132356,3.802582991,11.0,40.67745075
1478,Nano,20.38097787,3.928353632,36.0,123.4259731
1479,Micro,38.17272809,5.546782045,97.0,347.7659391
1480,Micro,14.15724514,3.449239584,55.0,201.9961016
1481,Micro,2.608126516,2.573891358,11.0,42.18314566
1482,Macro,24.51757273,1.461142201,46.0,162.7823996
1483,Macro,3.117856352,1.381985223,32.0,113.4593656
1484,Mega,25.11653866,5.846600188,74.0,261.9747959
1485,Nano,12.39563737,1.908127571,14.0,58.53156501
1486,Nano,22.46616939,7.150085369,64.0,233.0154686
1487,Macro,22.33069931,4.741691262,66.0,236.0814972
1488,Nano,3.562325119,1.729921479,19.0,62.19423217
1489,Macro,22.48656303,4.686640068,50.0,170.8145171
1490,Mega,20.82015775,3.598794638,47.0,165.7856483
1491,Micro,19.46702048,1.145521306,46.0,162.1521711
1492,Nano,16.68128451,1.258518049,50.0,174.8039768
1493,Micro,31.55684861,6.639293117,89.0,316.1769362
1494,Nano,34.46795513,4.088163909,97.0,347.5891327
1495,Nano,5.856616799,2.762125352,53.0,190.619282
1496,Macro,15.44215432,1.161453302,45.0,160.9908055
1497,Mega,9.812923503,0.369971776,28.0,101.4386575
1498,Macro,24.63674178,3.396340616,53.0,186.8078147
1499,Nano,30.78263387,4.327262063,78.0,273.6113122
1500,Nano,23.77163648,3.688207002,93.0,334.8717431
1501,Micro,32.57274847,5.430991677,100.0,355.3297239
1502,Macro,4.693662632,2.156240536,10.0,34.56679012
1503,Macro,12.90064612,0.843237641,45.0,164.3390498
1504,Micro,24.95557114,3.886572721,65.0,231.3658464
1505,Nano,19.89061645,3.079466745,53.0,188.1511842
1506,Nano,6.89825317,0.646096057,43.0,154.3991126
1507,Nano,7.191053729,0.032587652,28.0,98.73333034
1508,Mega,20.91279178,4.007210363,70.0,247.9036965
1509,Mega,8.511221137,2.605974425,16.0,56.43314187
1510,Micro,21.66131793,4.286278224,80.0,284.9795608
1511,Mega,14.68622497,3.854732763,52.0,183.9145347
1512,Nano,24.53215154,5.363193035,81.0,284.4296988
1513,Nano,29.27454206,1.791240836,79.0,278.7830371
1514,Nano,27.98283498,3.500553519,96.0,348.4377445
1515,Nano,19.94695027,4.409942415,40.0,144.8765937
1516,Mega,27.08276724,3.996892883,69.0,243.8078034
1517,Macro,1.067301036,0.825314156,13.0,45.40662239
1518,Mega,3.047946161,0.998475322,14.0,46.48788091
1519,Macro,22.02797304,5.556095046,70.0,247.9725884
1520,Micro,18.27604405,2.348785403,67.0,237.759577
1521,Micro,22.46689109,4.616527829,30.0,104.4446664
1522,Mega,16.76213505,5.647998207,56.0,196.4379226
1523,Nano,24.05831736,4.741096535,50.0,173.2842591
1524,Nano,13.48532605,5.942775544,45.0,157.8814771
