Judul,Penulis,Abstrak,SDGs
The dynamics effect of green technology innovation on economic growth and CO2 emission in Singapore: new evidence from bootstrap ARDL approach,"[{""Penulis"":""32935214""},{""Penulis"":""""},{""Penulis"":""32935214""},{""Penulis"":""Meirun, Tang""},{""Penulis"":""Mihardjo, Leonardus Ww""},{""Penulis"":""Haseeb, Muhammad""},{""Penulis"":""Khan, Syed Abdul Rehman""},{""Penulis"":""Jermsittiparsert, Kittisak""}]","For an economy to excel in growth, there is usually a trade-off between financial development and environment deterioration. For a country like Singapore, which has shown a radical growth and is known for its population density, it is important to explore the role of green technology innovation in the pursuit of economic excellence with the least possible cost to the environment. By employing the novel bootstrap autoregressive-distributed lag (BARDL) technique using a time series data from 1990 to 2018, the results reported a positive and significant relationship of green technology innovation with economic growth and negative and significant relationship with carbon emissions in both long run and short run. Based on the findings, several managerial implications were discussed, whereas based on the limitations, directions for future researchers are also given. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"The impact of the interaction between Madden-Julian Oscillation and Cold Surge, on rainfall over Western Indonesia","[{""Penulis"":""Wijayanti, Agita Vivi""},{""Penulis"":""Hidayat, Rahmat""},{""Penulis"":""Faqih, Akhmad""},{""Penulis"":""Alfahmi, Furqon""}]","The Madden-Julian Oscillation and Cold Surge phenomena have been known to cause increased rainfall, with the capacity to trigger hydrometeorological disasters, in western Indonesia. However, further investigations are required regarding the interaction between these phenomena on rainfall pattern. Therefore, this study aims to analyze the interaction between MJO and CS over western Indonesia, particularly by using land-based rainfall observation data from multiple stations, as previous studies were dominated by the use of gridded data from remote observations. This study utilized in-situ observation data obtained from 4329 weather observations and rain stations between 1989 and 2018. Subsequently, quality control performed based on data availability exceeding 70% over a 30-year period resulted in 303 selected stations to be used for further analysis. Meanwhile, the RMM index, as well as reanalysis data of mean sea level pressure and 925 hPa meridional wind, were also applied for MJO and CS identification. According to the composite analysis, the effect of CS on MJO phases tends to increase precipitation by about 50%, over western Indonesia, with maximum increase ranging from 200 to 400% over the northeastern coast of Sumatra, around Karimata Strait (Riau Islands and West Kalimantan), as well as the northern coast of Java. These areas are exposed to the sea and have direct access to the wind-terrain interaction. In addition, the highest rainfall anomaly due to the MJO-CS interaction occurs around Karimata Strait, followed by northern Sumatra and Java, with spatially averaged rainfall anomaly reaching 5 mm/day over the area. © 2021 by the authors. Licensee Indonesian Journal of Geography, Indonesia. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY NC) liccnse https://crcativccommons.org/licenses/by-nc/4.0/.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Assessment of a novel system utilizing gases exhausted from a ship's engine for power, cooling, and desalinated water generation","[{""Penulis"":""Cao, Yan""},{""Penulis"":""Mihardjo, Leonardus W.W.""},{""Penulis"":""Dahari, Mahidzal""},{""Penulis"":""Mustafa Mohamed, Abdeliazim""},{""Penulis"":""Ghaebi, Hadi""},{""Penulis"":""Parikhani, Towhid""}]","In this paper, an auxiliary trigeneration system driven by gases exhausted from a ship's engine is analyzed from thermodynamic standpoint. The system generates power, cooling, and desalinated water embracing a Kalina cycle in integration with an ejector refrigeration cycle and a humidification dehumidification-based desalination. A parametric study is conducted to analyze the influence of variation in some design parameters on the system's performance. The results indicates that both energy and exergy efficiencies enhance as separator pressure, vapor generator terminal temperature difference and condenser temperature decrease, and evaporator temperature increase. Additionally, Ammonia concentration in the Ammonia–water mixture is seen to have opposing effects on efficiencies. The desalinated water production rate reaches a maximum value of 1.34 kg/s when the Ammonia concentration is equal to 22–23%. Moreover, this parameter declines as the separator pressure increases, and remains unchanged when the evaporator temperature varies. As for cooling, it is deduced that augmentations in separator pressure, evaporator temperature, and vapor generator terminal temperature difference contribute to improvements in cooling output. In a regular input situation, energy and exergy efficiencies, net output power, cooling, and desalinated water production rate are found to be 60.4%, 39.7%, 559.8 kW, 604.7 kW, and 1.31 kg/s, respectively. © 2020 Elsevier Ltd","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The effect of transformational leadership style on employee performance with job stress as intervening variables in PT. Pos indonesia,"[{""Penulis"":""Jaya, Dharma""},{""Penulis"":""Fakhri, Mahendra""},{""Penulis"":""Madiawati, Putu Nina""},{""Penulis"":""Nurnida, Ida""},{""Penulis"":""Luturlean, Bachruddin Saleh""}]","This study aims to determine and analyze the effect of transformational leadership style on employee performance with job stress as an intervening variable. This research uses descriptive quantitative research methods. The population in this study were all employees of PT. Pos Indonesia (Persero) Bandung Head Office in the Directorate of Human Resources. The sample in this study used a saturated sample of 65 employees. The data consists of primary and secondary data. Data analysis was performed by path analysis, hypothesis testing and coefficient of determination. This study indicates that the transformational leadership style variable (X) has a significant effect on employee performance (Y) by 48.3 percent. Meanwhile, the variable transformational leadership style (X) has no significant effect on job stress (Z), the job stress variable has no effect significantly on employee performance (Y), and the transformational leadership style variable (X) has a significant effect on employee performance variables (Y) through job stress (Z) by 71 percent. © IEOM Society International.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Savings behaviour of bottom income group: Is there any role for financial efficacy and risk preference?,"[{""Penulis"":""Muhamad, Suriyani""},{""Penulis"":""Kusairi, Suhal""},{""Penulis"":""Zamri, Nadia""}]","An immense concern of governments globalwide today is financial inclusion as one of the Sustainable Development Goals (SDGs). Governments arrive at many solutions by addressing the policies to improve financial achievement, mainly through financial education programmes and specifically personal finance. Yet, financial management has such a broad scope and is not limited to just knowledge and financial literacy. Individuals are born with different confidence levels and non-identical financial abilities. This study investigates financial self-efficacy by applying psychometric instruments, risk preference and demography characteristics towards saving decision behaviour. The sample in the survey consisted of 479 respondents in Peninsular Malaysia that then became subject to structural equation modelling. The results show that financial self-efficacy is one of the critical factors that explain individual saving decision behaviour. Also, risk preference, gender and area (rural or urban) determine the saving decision behaviour. This paper also implicates that there might be a gap between the rural and urban levels of financial efficacy that needs government’s action to narrow it. © 2021, Centre of Sociological Research. All rights reserved.","[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
The role of women's entrepreneurial orientation to access external financial supports: Empirical evidence from the small and medium enterprises (SMEs) in Indonesia using PLS-SEM,"[{""Penulis"":""Maulina, Erna""},{""Penulis"":""Kostini, Nenden""},{""Penulis"":""Purnomo, Margo""},{""Penulis"":""Febrian, Achmad Fajri""}]","Majority of women entrepreneurs fight with problems in obtaining financial resources. The present research aims to examine how entrepreneurial orientation can be new factors to create the financial capability for women entrepreneurs. Using a sample of 55 women entrepreneurs in the culinary sector the results showed that entrepreneurial orientation will create the financial capability of women entrepreneurs in getting access to financial supports. The results indicate that the ability to manage the finance of women entrepreneurs will increase an economic-wellbeing, and these become even more important during an economic downturn when additional pressures are placed on the household's finances. © 2021 Inderscience Enterprises Ltd.","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Exposure Level Risk in Covid-19 Among Elementary School Students During the Pandemic in East Java Based on New Normal Activity,"[{""Penulis"":""Hidayatullah, Fajar""},{""Penulis"":""Anwar, Khoirul""},{""Penulis"":""Purwoto, Septyaningrum Putri""},{""Penulis"":""Handayani, Heni Yuli""},{""Penulis"":""Himawan, Agus""},{""Penulis"":""Wibowo, Herlambang Fajar""}]","Introduction: This research is quite important to mapping the potential risks faced by students during COVID-19 pandemic. Moreover, this research using quantitative approach research that utilizes descriptive analysis and tests of differences between several question indicators in the questionnaire, including: Age, class, gender, district/city, risk level, and score. Methods: This research using a descriptive research method with quantitative analysis approach that utilizes descriptive analysis and data collection using a closed questionnaire arranged in such a way on the google form. Accidental purposive sampling technique was used in this research which combines accidental data collection techniques with data collection techniques for a specific purpose. It was noted that a number of 585 elementary school students wich is 301 of them were boys and 284 of them were girls were approved by the related teachers and principals who were willing to become respondents in this study. Mann-Whitney t-test was carried out to conclude the collected research data. Results: 86.8% of respondent students were included in low risk category and 8.9% of respondents are in the moderate risk category also 4.3% students turned out to be in the high risk category exposured by COVID-19 infection based on the self-assessment they filled in as research data which showed that the student response was quite high in adjusting to the health protocol. Conclusion: This is concluded that the majority of students has low risk level category to exposured by COVID-19 infection from the health protocols they maintain during activities based on self-assessment instruments. © 2021 UPM Press. All rights reserved.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Development of a thermal model for irreversible electroporation: an approach to estimate and optimize the IRE protocols,"[{""Penulis"":""34032965""},{""Penulis"":""""},{""Penulis"":""34032965""},{""Penulis"":""Wardhana, Girindra""},{""Penulis"":""Almeida, João Pedro""},{""Penulis"":""Abayazid, Momen""},{""Penulis"":""Fütterer, Jurgen J.""}]","Purpose: Irreversible electroporation (IRE) is an emerging technique that has drawn attention in the field of cancer treatment. IRE uses non-thermal electric pulses to induce death of cancerous cells. However, recent studies have shown that the application of this technique may result in heating of the tissue. There is still room for improving its efficiency and defining better treatment protocols. This study investigates the optimal IRE protocols that avoiding the thermal damage during the IRE treatment. Methods: Electrode and pulse parameter are investigated. Finite element models are created to evaluate the ablation area and the temperature changes in the tissue. The model is validated experimentally in bovine liver tissue, while the parameters were optimized using response surface method (RSM). Results: From analysis of variance, the parameter of electrode distance and input voltage has significant effect to the temperature rise in the IRE treatment of bovine liver (P = 0.020 and P = 0.003 respectively). Meanwhile, only the input voltage significantly affects the ablation area (P < 0.001). The optimal result from RSM showed that for maximum ablation area 250.82mm2 with no thermal damage, the IRE protocol consisted of an active electrode length of 10 mm, a distance between electrodes of 10 mm, and the delivery of 50 pulses of 41.21 µs and 3000 V. Conclusions: The approach presented in this study allows the optimization of the IRE protocols. An optimal IRE protocol that maximizes the ablation area was successfully calculated which can be applied with no risk of thermal damage to the tissue. © 2021, The Author(s).","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Effect of Corporate Social Responsibility and Higher Academic Education Expert on Audit Opinion in Light of The Company Profile Perspective,"[{""Penulis"":""Cahyaningsih""},{""Penulis"":""Lestari, Tri Utami""}]","Audit of operational standards on how to evaluate social programs is a hotly debated topic and also higher academic education. The role of expert audit opinion is becoming increasingly important in terms of supporting a company's reputation. This study aims to determine the effect of corporate social performance and higher academic education on audit opinion. This study used the cost of corporate social responsibility to determine the corporate social performance. The audit opinion assessed in this paper was a going concern audit opinion. The companies referred to in this study were high-profile, low-profile companies, State-Owned Enterprises (SOEs), and Privately-Owned Enterprises (POEs). This study examined 583 observation-years of companies listed on the Indonesia Stock Exchange for the 2016-2018 period. This study found that there was a negative effect of social performance on going-concern audit opinion. The finding showed that the auditors had doubts about the viability of the business of the company with low social performance. This evidence was found in high-profile and low-profile companies, State-Owned Enterprises (SOEs), as well as Privately-Owned Enterprises (POEs). High-profile and low-profile companies, SOEs, and POEs are expected to always strive to increase social and environmental awareness. Superior social performance is usually associated with lower regulatory risks, litigation, and external reputation for both the client company and the auditor. Superior social performance also signified ethical and responsible management. On the other hand, higher academic education also played a significant and positive role with the audit opinion. This study provides evidence regarding the effect of social performance on the assessment of audit risk to decide the audit opinion to be determined by the auditor. © 2021 RIGEO. All Rights Reserved.","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
Digital adoption by enterprises in Malaysian industrial sectors during COVID-19 pandemic: A data article,"[{""Penulis"":""Muhamad, Suriyani""},{""Penulis"":""Kusairi, Suhal""},{""Penulis"":""Man, Mustafa""},{""Penulis"":""Majid, Nur Fatma Hasni""},{""Penulis"":""Wan Kassim, Wan Zulkifli""}]","This article presents data on digital adoption by enterprises in Malaysian industrial sectors during the COVID-19 pandemic. The data were collected during the periods of Conditional Movement Control Order (CMCO) and Recovery Movement Control Order (RMCO) from October 11 to December 31, 2020. Data collection was completed through an online questionnaire survey conducted among a sample of 432 enterprises from four industrial sectors, namely services, retail, manufacturing, and tourism, in all states in Malaysia. The sample was selected using cluster and systematic random sampling. The questionnaire asked respondents to state whether they used the Internet, computers, phones, web sites, e-payment, and e-commerce to complete their activities relating to finance, production and operations, human resource management, and marketing. The data were analysed using descriptive statistics and cross-tabulation. The data show the extent of digital adoption by Malaysian enterprises during the pandemic in comparison to the situation before the pandemic. The data may be of use to other similar researchers as comparison and to policy makers as guides in devising related policies. © 2021","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
Classification of Dried Clove Flower Quality using Convolutional Neural Network,"[{""Penulis"":""Chalik F.A.""},{""Penulis"":""Al Maki, Wikky Fawwaz""}]","Detecting cloves quality in Indonesia still uses man-ual labor. Therefore, errors often occur in sorting cloves. The quality of cloves depends on good weather. Unpredictable weather will prolong the clove drying process and make the cloves damaged and moldy. In this study, we use the CNN architecture with several combinations, namely the number of convolutions, the number of dense layers, and the size of the layers. The CNN architecture is trained using several variations of the color space and several variations of image segmentation to classify the clove quality. This study used three color spaces (RGB, HSV, and YCbCr) and two segmentation methods (Otsu segmented and HSV color segmentation). The best accuracy is obtained by using the HSV color space, original dataset, and E-5C-64LS-4D architecture that is 96% accuracy, precision, recall, and F1-Score. To get a better model, we use the proper image segmentation method and composing the suitable color space to improve the CNN architectural performance.  © 2021 IEEE.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
The Effect of Service Quality and Brand Trust on Customer Loyalty during COVID-19 Pandemic: Moderating Effect of Customer Satisfaction,"[{""Penulis"":""Ovita A.""},{""Penulis"":""Pradana M.""},{""Penulis"":""Nugraha D.W.""}]","This research was conducted to detect how service quality and brand trust influence JNE customer loyalty in Karawang through customer satisfaction as an intervening variable. The research was carried out using descriptive and causal research types with a quantitative approach involving 400 respondents who used JNE services by taking samples through a non-probability sampling technique that was purposive sampling type, namely through determining specific criteria that were in line with the research objectives. The analytical method used in this research is path analysis, data analysis using the SmartPLS version 3.0 software. The results of the analysis show that service quality variables owns a great and substantial reaction on JNE customer satisfaction, brand trust owns a great and substantial reaction on customer loyalty, service quality owns a great and substantial reaction on customer satisfaction, customer satisfaction owns a great and substantial reaction on customer loyalty. © Kalahari Journals.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"The Recovery Strategy of Mangrove Tourism after Covid-19 Pandemic in Bintan Island, Indonesia","[{""Penulis"":""Khairunnisa, Khairunnisa""},{""Penulis"":""Tetty, Tetty""},{""Penulis"":""Hafsar K.""},{""Penulis"":""Haidawati, Haidawati""},{""Penulis"":""Wahyudin, Wahyudin""},{""Penulis"":""Suhana M.P.""},{""Penulis"":""Muzammil W.""},{""Penulis"":""Putra R.D.""},{""Penulis"":""Hanifah, Hanifah""}]","The Corona Virus Disease 2019 (Covid-19) has been confirmed as pandemic by the World Health Organization (WHO). Every country in the world is affected by this disease, including Indonesia. Covid-19 impacts not only public health but also other sectors such as tourism. This study aims to discover the solution to recover mangrove tourism after the pandemic. This study formulates the mangrove tourism recovery strategy after Covid-19 that conducted from April to August 2021 in Bintan Islands, Indonesia. The recovery strategy using Strength, Weakness, Opportunity, and Threat (SWOT) and Analytical Hierarchy Process (AHP) analysis. The result shows that the strength of mangrove tourism in Bintan Island is the magnificence of the mangrove itself, the community-based tourism, various and unique tourism activities, etc. The weakness is incomplete facilities, lack of promotion, etc. The recovery strategy priority is mangrove tourism management that performed by BUMDes, Establishment of Pengudang Village Tourism and Cultural Heritage, Training and Mentoring of Mangrove Tourism Managers.  © The Authors, published by EDP Sciences.","[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
"Gap Analysis of University Online Learning Website from Students' Perspectives: A Case from Telkom University, Indonesia","[{""Penulis"":""Pradana M.""},{""Penulis"":""Rahmawan M.D.""},{""Penulis"":""Wahyuddin S.""},{""Penulis"":""Imam R.""}]",The purpose of this research is to observe the perceived quality of Telkom University online learning website from students' perspectives. Students here act as the main users of the learning platform and we would like to see whether the perceived quality and the ideal quality already fulfil users' expectation. The data used are the primary and secondary data with a set of sample taken from 100 students. We use the question items from website quality method and analyse the data with importance performance analysis (gap analysis). The research shows that the usability and service interaction aspects of the website have quite significant gaps between perceived and ideal qualities. © Published under licence by IOP Publishing Ltd.,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Intellectual Capital and Environmental Uncertainty on Firm Performance: The mediating role of the value chain,"[{""Penulis"":""Hapsari, Dini Wahjoe""},{""Penulis"":""Yadiati, Winwin""},{""Penulis"":""Suharman, Harry""},{""Penulis"":""Rosdini, Dini""}]","This study aims to analyze the effect of the value chain as a mediating on the relationship between intellectual capital and environmental uncertainty on firm performance. Most studies have not included the mediating effect of the value chain in the relationship between intellectual capital and environmental uncertainty to led firm performance. Data were collected from 207 respondents on non-financial state-owned enterprises in Indonesia, using an online survey. Structural Equation Modeling (SEM) was used for analysis and hypothesis testing. The results showed a significant and direct relationship between intellectual capital on firm performance and also environmental uncertainty on firm performance. Value Chain mediated the intellectual capital and environmental uncertainty, and therefore, the value chain has a positive effect on firm performance. Furthermore, the result indicates that the value chain mediates the effects of intellectual capital and performance uncertainty on firm performance. The research findings suggest that the value chain can be used and is an essential tool for companies to improve their performance. © 2021, SRAC - Romanian Society for Quality. All rights reserved.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
5G Fixed Wireless Access Network for Urban Residential Market: A Case of Indonesia,"[{""Penulis"":""Adityo, Muhammad Kevin""},{""Penulis"":""Nashiruddin, Muhammad Imam""},{""Penulis"":""Nugraha, Muhammad Adam""}]","The quick advancement of technology has increased commercial rivalry in telecommunications, compelling broad-band network operators to be more effective in assembling Capital Expenditure (CAPEX) and Operational Expenditures (OPEX) requirements to avoid the scissor effect. The arrival of 5G Fixed Wireless Access (FWA) eliminates costly network connections. FWA enables network operators to offer ultra-high-speed internet support in residential areas where fiber is expensive to construct and maintain. The objective of this research is to determine the required number of gNodeB for capacity and coverage planning by using two different 5G frequencies, 3.5 GHz mid-band and 28 GHz mmWave, along with CAPEX and OPEX calculations in deploying 5G FWA at one of the urban residential areas in Indonesia, Citra Raya Cikupa. This research analyzes the area's classification, forecasts the number of households from 2021 to 2026, and traffics usage to achieve an optimum number of gNodeB. This research then calculates the CAPEX and OPEX. The results show that Citra Raya Cikupa's generated a traffic demand of 12.73 Gbps/km2 with an area of 27.6 km2. Furthermore, using the 3.5 GHz mid-band frequency, Citra Raya Cikupa demands 67 gNodeB with a CAPEX of USD 7,221,595 and an OPEX of USD 3,169,368. While using the 28 GHz mmWave frequency, Citra Raya Cikupa needs 107 gNodeB with a CAPEX of USD 2,309,488 and an OPEX of USD 1,183,848. © 2021 IEEE.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Regional branding: Transfers medium dance into visual identity in ponorogo image construction,"[{""Penulis"":""Setyawan, Agus Budi""},{""Penulis"":""Prihatini, Nanik Sri""},{""Penulis"":""Sri Rochana W.""},{""Penulis"":""Soewardikoen, Didit Widiatmoko""}]","This article discusses how the people of Ponorogo, East Java, Indonesia, designed a visual identity as a representation of Reyog dance to build up a regional image through a series of branding communication activities. This study uses a qualitative paradigm with a case study approach. The data was collected through in-depth interviews, participatory observation, and document investigation. All data collected were analyzed using an interactive model. The results showed that the five characters of the Reyog dancer were represented as a visual identity for Ponorogo branding through the process of media transferring using photography, illustration, and sculpture techniques. Reyog's visual identity with motion characteristics is implemented in each channel of branding communication media through primary, secondary, and tertiary communication approaches. Other local governments can use these research results as a model to build up a regional image through dance media. © 2021 Aesthetics Media Services. All rights reserved.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Information System Control and Improvement Process Design based on Clause 8 ISO 20000-1:2018 using SysML Language,"[{""Penulis"":""Aurachman, Rio""},{""Penulis"":""Utama, Nur Ichsan""},{""Penulis"":""Habibie, Jauhari""}]",The development of quality information systems has become one of the important strategies in increasing business competitiveness and increasing the added value of products and services. Information systems as a service require a process of continuous improvement. The continuous improvement includes the process of getting feedback for the system's continuity and then making improvements based on that feedback. Not much research has applied the information system control process based on ISO 20000-1: 2018. This research tries to propose this. © Published under licence by IOP Publishing Ltd.,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
Multi-parameter Coordinated Public School Admission Model by using Stable Marriage,"[{""Penulis"":""Kusuma, Purba Daru""}]","School admission is a very important process in improving the education quality. Meanwhile, one problem in the school admission system is the mismatch. There are unassigned applicants and unallocated seats. In Indonesia, zone-based model is adopted in the public-school admission system. Students are assigned to their nearest school. Besides location, student’s academic performance and economic level are also concerned. Based on it, this work proposes coordinated public school admission model that accommodates flexible number of the concerned parameters. It is built based on the stable marriage algorithm or the deferred-acceptance algorithm as its derivative. The proposed model is a combination between the mandatory approach and the school choice approach. The concerned parameters are school-home distance, student national exam score, school rank, applicant poor status, and applicant’s preference. The simulation is conducted to investigate the performance of the proposed model compared with the previous models: the zone-based model and the two-step model. The prioritization of the concerned parameters is proven easily adjusted. The simulation result shows that in the over-demand condition, the proposed model creates higher average student national exam score and higher average school-home distance rather than the previous models. When the number of applicants is twice of the number of seats, the proposed model creates 6.6 percent higher in the average student national exam score and 71.4 percent higher in the average school-home distance. The simulation result also shows that the mismatch is solved. © 2021. All Rights Reserved.","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Modeling e-Livestock Indonesia,"[{""Penulis"":""Ramadhan, Arief""},{""Penulis"":""Arymurthy, Aniati Murni""},{""Penulis"":""Sensuse, Dana Indra""},{""Penulis"":""Muladno""}]","The demand for beef resources in Indonesia is always increasing every year. However, Indonesia's national beef supply cannot meet those needs. The import of beef in large numbers likely to remain performed. The government has made various efforts to reduce imports and achieve self-sufficiency in beef. However, the government does not yet have a good identification, registration, documentation, and traceability system, so there is no truly valid data regarding the actual stock condition. Inaccuracy of data can lead to inappropriate policymaking in the livestock sector. Therefore, an e-Government initiative in the form of e-Livestock has been proposed. The definitions and success factors regarding e-Livestock have been revealed in our previous researches. Based on those researches, by using soft system methodology, hermeneutics, focus group discussion, and success factors, the business process models for e-Livestock in Indonesia will be created in this research. Apart from that, various kinds of recommendations for action to solve the problem will also be generated from this research. Those recommendations are about the functional requirement, the identification tool, the location numbering rule, the ownership documentation, the socialization of the e-Livestock, the institutional aspect of e-Livestock, the regulations underlie e-Livestock and the conceptual infrastructure diagram of e-Livestock. All of the business process models produced have been validated and their complexities are also calculated. Most of the business process model is very easy to understand. All the business process models and recommendations generated from this research can be a guide for the government when implementing e-Livestock. © 2021 The Author(s)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
Democratic Leadership Practice to Construct Clan Organizational Culture in Family Companies,"[{""Penulis"":""Fakhri, Mahendra""},{""Penulis"":""Syarifuddin, Syarifuddin""},{""Penulis"":""Winarno, Alex""},{""Penulis"":""Nurnida, Ida""},{""Penulis"":""Hanum, Syarifa""}]","A family business is a company where most of its capital and the management position is owned by family members (clan). The leader plays an important role in defining an organization, thus influencing the organization’s success. A leader who has a leadership style based on family (clan) relation has the facilitator’s role when conflict appears within the organization. This research aims to find the impact of the democratic leadership model on a family business that adopts the clan cultural organization. The independent variable of this research is the democratic leadership model. Meanwhile, the dependent variable is the clan culture within the organization. This research uses a quantitative method with a descriptive and causality type of research. This research population is PT Global Avionika Indonesia staff, where the data was acquired by distributing questionnaires using a saturated sampling technique. The finding in this research shows a positive and significant impact of the democratic leadership model on the clan culture within the organization PT Global Avionika. The determination test also points out that democratic leadership models affect 19.8 percent of the clan culture within the organization, and the rest of 80.2 percent were affected by other factors that were not covered in this research. © 2021. This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (https://creativecommons.org/licenses/by-nc/4.0/) which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited. All rights reserved.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Designing Sigfox Network for Public Internet of Things in Batam Island,"[{""Penulis"":""Winalisa, Shelasih""},{""Penulis"":""Nashiruddin, Muhammad Imam""},{""Penulis"":""Murti, Muhammad Ary""}]","Sigfox Network is one of the most widely used IoT Connectivity technologies for the IoT market, especially for the Public IoT as integrated systems that operate in real-time, track devices, and manage the energy used to help social work. Sigfox uses unlicensed public frequencies, namely Industry frequency, Science, and Medical (ISM), and technology with global reach characteristics, cost-effectiveness, energy efficiency, and simplicity, which is scarce for scholars to explore the Sigfox network for multiple use cases as public IoT. Using Ultra-Narrow Band (UNB) with a total bandwidth of 192 kHz and 100 Hz messages per bandwidth, Sigfox operates globally. This research explored Sigfox network planning and simulation with Batam Island representatives as Urban areas. The method used network planning (coverage and capacity) analysis and simulation using Network Design Software Forsk Atoll 2.3.3. The results of the study stated that 15 gateways needed to cover the area. The simulation was done in two predictions, the coverage or prediction of the received signal level and the predicted Signal to Noise Ratio (SNR). The simulation result shows that almost sufficiently 100% of the area has an acceptable level above-134 dBm and produces an average best signal level of-86.55 dBm. The simulation also provides an average SNR level of 6.1 dB with the highest SNR value of 30 dB to 31 dB can cover an area of 7.81 sq. km. © 2021 IEEE.","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Implementation of machine learning methods for monitoring and predicting water quality parameters,"[{""Penulis"":""Hayder, Gasim""},{""Penulis"":""Kurniawan, Isman""},{""Penulis"":""Mustafa, Hauwa Mohammed""}]","The importance of good water quality for human use and consumption can never be underestimated, and its quality is determined through effective monitoring of the water quality index. Different approaches have been employed in the treatment and monitoring of water quality parameters (WQP). Presently, water quality is carried out through laboratory experiments, which requires costly reagents, skilled labor, and consumes time. Thereby making it necessary to search for an alternative method. Recently, machine learning tools have been successfully implemented in the monitoring, estimation, and predictions of river water quality index to provide an alternative solution to the limitations of laboratory analytical methods. In this study, the potentials of one of the machine learning tools (artificial neural network) were explored in the predictions and estimation of the Kelantan River basin. Water quality data collected from the 14 stations of the River basin was used for modeling and predicting (WQP). As for WQP analysis, the results obtained from this study show that the best prediction was obtained from the prediction of pH. The low kurtosis values of pH indicate that the appearance of outliers give a negative impact on the performance. As for WQP analysis for each station, we found that the WQP prediction in station 1, 2, and 3 give the good results. This is related to the available data of those stations that are more than the available data in other stations, except station 8. © 2020 by the authors.","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Drug Review-based Diabetes Prediction by Using Naïve Bayes Method,"[{""Penulis"":""Rasunah, Aisah Mujahidah""},{""Penulis"":""Setiawan, Erwin Budi""},{""Penulis"":""Kurniawan, Isman""}]","Diabetes is a metabolic disease characterized by hyperglycemia caused by defects in insulin secretion, insulin action, or both. Several studies show that late and inappropriate treatment in diabetes mellitus will cause uncontrolled blood glucose in the long term. This condition causes severe changes in heart, brain blood vessels and leg blood vessels, nerves, kidneys, and eyes. Hence, the ability to recognize the existence of diabetes is necessary to prevent the worse condition. This study utilizes the Naive Bayes method to predict diabetes based on drug reviews. The N-Gram and TF-IDF (Term Frequency- Inverse Document Frequency) methods are used for feature extraction. We found that the utilization of the uni-bigram+trigram feature produces the best result with the values of accuracy and F1-score are 0.928 and 0.932, respectively. © 2021 IEEE.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
