Judul,Penulis,AbstrakClean,target,aspects
Regional branding: Transfers medium dance into visual identity in ponorogo image construction,"[{""Penulis"":""Setyawan, Agus Budi""},{""Penulis"":""Prihatini, Nanik Sri""},{""Penulis"":""Sri Rochana W.""},{""Penulis"":""Soewardikoen, Didit Widiatmoko""}]","this article discu es how the people of ponorogo  east java  indonesia  designed a visual identity as a representation of reyog dance to build up a regional image through a series of branding communication activities  this study uses a qualitative paradigm with a case study approach  the data was collectedMelalui wawancara mendalam pengamatan partisipatif dan investigasi dokumen, semua data yang dikumpulkan dianalisis menggunakan model interaktif hasil menunjukkan bahwa lima karakter penari Reyog diwakili sebagai identitas visual untuk branding ponorogo melalui prosedur transfer media menggunakan ilustrasi fotografi dan teknik patung menggunakan teknik fotografi dan patung fotografi dan patung fotografi dan pahat fotografi dan fotografi dan pahat fotografi dan fotografireyog s visual identity with motion characteristics is implemented in each channel of branding communication media through primary  secondary  and tertiary communication approaches  other local governments can use these research results as a model to build up a regional image through dance media         aesthetics media services  all rights reserved","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Information System Control and Improvement Process Design based on Clause 8 ISO 20000-1:2018 using SysML Language,"[{""Penulis"":""Aurachman, Rio""},{""Penulis"":""Utama, Nur Ichsan""},{""Penulis"":""Habibie, Jauhari""}]","Pengembangan sistem informasi berkualitas telah menjadi salah satu strategi penting dalam meningkatkan kompetisi busin dan meningkatkan nilai tambah produk dan layanan sistem informasi sebagai layanan memerlukan proyek perbaikan berkelanjutan.kontinuitas dan kemudian membuat perbaikan berdasarkan umpan balik itu, tidak banyak penelitian telah menerapkan prosedur kontrol sistem informasi berdasarkan ISO penelitian ini mencoba mengusulkan ini yang diterbitkan di bawah lisensi oleh IOP Publishing Ltd","1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0","SDG1,SDG7,SDG9,SDG12"
Multi-parameter Coordinated Public School Admission Model by using Stable Marriage,"[{""Penulis"":""Kusuma, Purba Daru""}]","Admi ion sekolah adalah prosedur yang sangat penting dalam meningkatkan kualitas pendidikan sementara satu masalah dalam sistem penerimaan sekolah adalah ketidakcocokan yang ada pelamar UNA yang dialihkan dan kursi yang tidak dialokasikan dalam model berbasis zona Indonesia diadopsi dalam sistem administrasi sekolah umum siswa adalah a adalah seorang siswa adalah a adalah seorang siswa adalah a adalah seorang siswa adalah a adalah siswa adalah a adalah siswa adalah a adalah siswa adalah a adalah siswa adalah a.Dipicu ke sekolah terdekat di samping lokasi kinerja akademik siswa dan tingkat ekonomi juga prihatin berdasarkan pekerjaan ini mengusulkan model penerimaan sekolah umum yang terkoordinasi yang mengakomodasi jumlah yang fleksibel dari parameter terkait yang dibangun berdasarkan algoritma pernikahan yang stabil atau penerimaan yang ditangguhkanalgorithm as its derivative  the proposed model is a combination between the mandatory approach and the school choice approach  the concerned parameters are school home distance  student national exam score  school rank  applicant poor status  and applicant s preference  the simulation is conducted to investigate the performance of the proposedModel Dibandingkan dengan model sebelumnya model berbasis zona dan model dua langkah prioritas parameter terkait terbukti mudah disesuaikan hasil simulasi menunjukkan bahwa dalam kondisi permintaan berlebihan model yang diusulkan menciptakan skor ujian nasional siswa rata -rata yang lebih tinggi dan rata -rata rumah sekolah rata -rata yang lebih tinggi di sekolah yang lebih tinggiJarak daripada model sebelumnya ketika jumlah pelamar dua kali dari jumlah kursi, model yang diusulkan menciptakan persen lebih tinggi dalam skor ujian nasional siswa rata -rata dan persen lebih tinggi dalam jarak rumah rata -rata hasil simulasi juga menunjukkan bahwa ketidakcocokan diselesaikanseluruh hak cipta","1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG4,SDG17"
Modeling e-Livestock Indonesia,"[{""Penulis"":""Ramadhan, Arief""},{""Penulis"":""Arymurthy, Aniati Murni""},{""Penulis"":""Sensuse, Dana Indra""},{""Penulis"":""Muladno""}]","Permintaan sumber daya daging sapi di Indonesia selalu meningkat setiap tahun namun pasokan daging sapi nasional Indonesia tidak dapat memenuhi kebutuhan impor daging sapi dalam jumlah besar yang kemungkinan akan tetap dilakukan, pemerintah telah melakukan berbagai upaya untuk mengurangi impor dan mencapai kecukupan diri dalam daging sapi namunPemerintah belum memiliki dokumentasi pendaftaran identifikasi yang baik dan sistem penelusuran sehingga tidak ada data yang benar -benar valid mengenai kondisi stok aktual ketidakakuratan data dapat menyebabkan pembuatan kebijakan yang tidak tepat di sektor ternak oleh karena itu sebuah inisiatif pemerintah dalam bentuk e ternak telah terjadiDiusulkan definisi dan faktor SUCCE mengenai ternak telah terungkap dalam penelitian kami sebelumnya berdasarkan penelitian tersebut dengan menggunakan metodologi sistem lunak Hermeneutika Fokus Discu dan Faktor Succe, model prosedur busin untuk E ternak di Indonesia akan dibuat dalam penelitian ini selain dari yang terpisah dari dari Indonesia dari penelitian ini selain dari yang terpisah dari dari E.bahwa berbagai jenis rekomendasi untuk tindakan untuk menyelesaikan masalah juga akan dihasilkan dari penelitian ini rekomendasi tersebut adalah tentang persyaratan fungsional alat identifikasi aturan penomoran lokasi. Dokumentasi kepemilikan sosialisasi ternak.E ternak dan diagram infrastruktur konseptual dari ternak semua model prosedur busine yang diproduksi telah divalidasi dan kompleksitasnya juga dihitung sebagian besar model prosedur busine sangat mudah untuk memahami semua model prosedur busine dan rekomendasi yang dihasilkan dari penelitian ini dapat terjadiPanduan untuk Pemerintah saat menerapkan E LIVESTOCK Penulis","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1","SDG1,SDG16,SDG17"
Democratic Leadership Practice to Construct Clan Organizational Culture in Family Companies,"[{""Penulis"":""Fakhri, Mahendra""},{""Penulis"":""Syarifuddin, Syarifuddin""},{""Penulis"":""Winarno, Alex""},{""Penulis"":""Nurnida, Ida""},{""Penulis"":""Hanum, Syarifa""}]",Sebuah Busine Family adalah perusahaan di mana sebagian besar modalnya dan posisi manajemen dimiliki oleh anggota keluarga klan pemimpin memainkan peran penting dalam mendefinisikan organisasi sehingga mempengaruhi organisasi S yang menggugah seorang pemimpin yang memiliki gaya kepemimpinan berdasarkan hubungan klan keluarga telah dimilikiPeran fasilitator ketika konflik muncul di dalam organisasi penelitian ini bertujuan untuk menemukan dampak dari model kepemimpinan demokratis pada busin keluarga yang mengadopsi organisasi budaya klan variabel independen dari penelitian ini adalah model kepemimpinan demokratis sementara itu variabel dependen adalah klan tersebutBudaya dalam Organisasi Penelitian ini menggunakan metode kuantitatif dengan jenis penelitian deskriptif dan kausalitas populasi penelitian ini adalah PT global staf Avionika Indonesia di mana data diperoleh dengan mendistribusikan kuesioner menggunakan teknik pengambilan sampel jenuh. Temuan dalam penelitian ini menunjukkan positif dan signifikanDampak dari Model Kepemimpinan Demokratik pada Budaya Klan dalam Organisasi PT Global Avionika Tes Penentuan juga menunjukkan bahwa model kepemimpinan demokratis mempengaruhi persentase budaya klan dalam organisasi dan sisa persen dipengaruhi oleh faktor -faktor lain yang tidak tercakupPenelitian Ini Ini adalah artikel ACCE terbuka yang didistribusikan berdasarkan ketentuan Atribusi Creative Commons Non Lisensi Non Komersial yang memungkinkan distribusi dan reproduksi penggunaan non komersial yang tidak dibatasi dalam media apa pun asalkan karya asli dikutip dengan benar semua hak dilindungi undang -undang,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Designing Sigfox Network for Public Internet of Things in Batam Island,"[{""Penulis"":""Winalisa, Shelasih""},{""Penulis"":""Nashiruddin, Muhammad Imam""},{""Penulis"":""Murti, Muhammad Ary""}]","SIGFOX Network adalah salah satu teknologi konektivitas IoT yang paling banyak digunakan untuk pasar IoT terutama untuk IoT publik sebagai sistem terintegrasi yang beroperasi dalam perangkat trek waktu nyata dan mengelola energi yang digunakan untuk membantu pekerjaan sosial Sigfox menggunakan frekuensi publik yang tidak berlisensi yaitu sains frekuensi industri dan sains dan sains dan SIGFOX menggunakan frekuensi publik yang tidak berlisensi yaitu sains frekuensi industri dan pekerjaan dan SIGFOX tidak berlisensi yaitu sains frekuensi industri dan dan SIGFOX tidak berlisensi yaitu ilmu industri dan sains dan sains dan SIGFOX dan frekuensi industri dan SIGFOX,ISM dan teknologi medis dengan karakteristik jangkauan global Efisiensi energi efektif dan kesederhanaan yang langka bagi para sarjana untuk mengeksplorasi jaringan SIGFOX untuk beberapa kasus penggunaan karena IoT publik menggunakan pita ultra sempit UNB dengan total bandwidth KHZ dan HZ ME Usia per bandwidth Sigfox beroperasi beroperasi SIGFOX beroperasi beroperasi SIGFOX di Bandwidth Sigfox beroperasi SIGFOX beroperasi SIGFOX KHZ dan HZ ME SIGFoxSecara global penelitian ini mengeksplorasi perencanaan dan simulasi jaringan SIGFOX dengan perwakilan Pulau Batam sebagai daerah perkotaan Metode ini menggunakan cakupan perencanaan jaringan dan analisis kapasitas dan simulasi menggunakan perangkat lunak desain jaringan untuk atol.Dalam dua prediksi, cakupan atau prediksi tingkat sinyal yang diterima dan sinyal yang diprediksi terhadap rasio noise, hasil simulasi menunjukkan bahwa hampir cukup dari area tersebut memiliki tingkat yang dapat diterima di atas DBM dan menghasilkan tingkat sinyal terbaik dari DBM, simulasi juga menyediakan sebuahLevel SNR rata -rata DB dengan nilai SNR tertinggi dari DB ke DB dapat mencakup area SQ KM IEEE","0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0","SDG7,SDG9"
Implementation of machine learning methods for monitoring and predicting water quality parameters,"[{""Penulis"":""Hayder, Gasim""},{""Penulis"":""Kurniawan, Isman""},{""Penulis"":""Mustafa, Hauwa Mohammed""}]",Pentingnya kualitas air yang baik untuk penggunaan dan konsumsi manusia tidak akan pernah bisa diremehkan dan kualitasnya ditentukan melalui pemantauan yang efektif terhadap indeks kualitas air pendekatan yang berbeda telah digunakan dalam pengolahan dan pemantauan parameter kualitas air WQP saat ini dilakukan dengan kualitas air dilakukan melalui airEksperimen laboratorium yang membutuhkan reagen mahal yang terampil tenaga kerja dan mengkonsumsi waktu sehingga membuatnya perlu mencari metode alternatif baru -baru ini alat pembelajaran mesin telah digantikan sepenuhnya diterapkan dalam estimasi pemantauan dan prediksi indeks kualitas air sungai untuk memberikan solusi alternatif untuk keterbatasan tersebutmetode analitik laboratorium dalam penelitian ini potensi salah satu alat pembelajaran mesin jaringan saraf buatan dieksplorasi dalam prediksi dan estimasi data kualitas air sungai Kelantan yang dikumpulkan dari stasiun DAS digunakan untuk pemodelan dan memprediksi WQP sebagai sebagai WQP sebagai sebagai WQP sebagai WQP sebagai sebagai WQP sebagai sebagai WQP sebagai sebagai WQP sebagai WQP sebagai sebagai WQP sebagai WQP sebagai sebagai WQP sebagai WQP sebagai WQP sebagai WQP sebagai WQP sebagai WQP AsUntuk analisis WQP hasil yang diperoleh dari penelitian ini menunjukkan bahwa prediksi terbaik diperoleh dari prediksi pH nilai kurtosis rendah pH menunjukkan bahwa penampilan outlier memberikan dampak negatif pada kinerja seperti untuk analisis WQP untuk setiap stasiun kami menemukan bahwaPrediksi WQP di stasiun dan memberikan hasil yang baik ini terkait dengan data yang tersedia dari stasiun -stasiun yang lebih dari data yang tersedia di stasiun lain kecuali stasiun oleh penulis,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0",SDG6
Drug Review-based Diabetes Prediction by Using Naïve Bayes Method,"[{""Penulis"":""Rasunah, Aisah Mujahidah""},{""Penulis"":""Setiawan, Erwin Budi""},{""Penulis"":""Kurniawan, Isman""}]",Diabetes adalah penyakit metabolisme yang ditandai dengan hiperglikemia yang disebabkan oleh cacat pada aksi insulin sekresi insulin atau kedua penelitian menunjukkan bahwa pengobatan yang terlambat dan tidak sesuai pada diabetes mellitus akan menyebabkan glukosa darah yang tidak terkendali dalam jangka panjang kondisi ini menyebabkan perubahan parah pada darah otak otak dan els dan darah jantung dan els dan darah jantung dan els jantung dan darah jantung dan els jantung dan darah jantung dan els jantung dan darah jantung elDarah kaki ve els saraf ginjal dan mata karenanya kemampuan untuk mengenali keberadaan diabetes diperlukan untuk mencegah kondisi yang lebih buruk penelitian ini menggunakan metode Bayes yang naif untuk memprediksi diabetes berdasarkan ulasan obat.Metode digunakan untuk ekstraksi fitur yang kami temukan bahwa pemanfaatan fitur UNI Bigram Trigram menghasilkan hasil terbaik dengan nilai -nilai akurasi dan skor F dan masing -masing IEEE,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",SDG3
The impact of perceived organizational support on knowledge sharing: A meditation analysis through an sem approach,"[{""Penulis"":""Winarno, Alex""},{""Penulis"":""Prasetio, Arif Partono""},{""Penulis"":""Dudija, Nidya""},{""Penulis"":""Pratami, Ciptaresmi Nadya""},{""Penulis"":""Liu, Ran""}]","Penyedia seluler seluler perlu terus meningkatkan kemampuan sumber daya manusia mereka untuk mengatasi permintaan pasar dalam pengetahuan organisasi teknologi tinggi sangat penting untuk mengalahkan persaingan untuk mempercepat pengetahuan yang dapat dioptimalkan kepada karyawan mereka untuk berbagi pengalaman dan pengetahuan mereka dengan orang lain. Studi ini meneliti.Peran Dukungan Organisasi dan Komitmen Afektif dalam Meningkatkan Pengetahuan Berbagi Bersedia Kami menggunakan kuesioner untuk mengumpulkan data dari perusahaan seluler di Jakarta Indonesia yang menerima tanggapan yang dapat digunakan, penelitian ini mengungkapkan bahwa jika karyawan merasa bahwa organisasi tersebut memberikan dukungan yang memadai, mereka menjadi lebih bersedia untuk berbagi pengetahuan dengan mereka denganDukungan lain yang memadai juga meningkatkan komitmen emosional yang pada akhirnya terbukti berharga untuk mendorong rekannya untuk berbagi komitmen afektif memainkan peran mediasi dalam hubungan antara yang dirasakan dukungan organisasi dan pengetahuan berbagi temuan ini memberikan wawasan baru tentang bagaimana meningkatkan semangat berbagi antara antaraInstitut Karyawan Eropa Timur dan Asia Tengah Semua hak dilindungi undang -undang","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
The exploratory factor analysis on firms performance of micro and small enterprises in Indonesia,"[{""Penulis"":""Iskamto, Dedi""},{""Penulis"":""Yapentra, Arhipen""},{""Penulis"":""Gultom, Elida""},{""Penulis"":""Syahsudarmi, Siti""},{""Penulis"":""Misdawita""},{""Penulis"":""Febrina, Wetri""},{""Penulis"":""Santosa, Budi""},{""Penulis"":""Bon, Abdul Talib""}]","Penelitian tentang Perusahaan Kinerja Perusahaan Mikro dan Kecil MSES Terus tumbuh terutama di negara -negara berkembang seperti Indonesia Studi ini dirancang untuk membangun dan memvalidasi Instrumen Kinerja SME melalui Analisis Faktor Eksplorasi EFA yang terbatas pada MSE di Pekanbaru Indonesia Studi iniVariabel yang dianalisis dari Keahlian Pengusaha Dukungan Pemerintah EC dan Lingkungan Pengusaha EE Studi ini mengikuti gaya studi sectional CRO dengan data kuantitatif yang diperoleh dari usaha kecil dan menengah yang berbasis di Indonesia, penelitian ini berfokus pada ukuran keandalan analisis ini menyelesaikan instrumen dalam delapan belas bagian dalamKasus ini Peneliti mengukur nilai reliabilitas internal dalam nilai alpha Cronbach untuk variabel SP saat ini Penelitian ini menguraikan secara mendalam prosedur untuk melakukan pemeriksaan EFA dari SP yang membuat penelitian ini menguraikan secara mendalam prosedur untuk melakukan pemeriksaan EFA terhadap SP SP iniMembangun temuan analisis ini mungkin berguna bagi peneliti terapan yang terlibat dalam riset kinerja wirausaha IEOM Society International","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Visualizing and mapping two decades of literature on board of directors research: a bibliometric analysis from 2000 to 2021,"[{""Penulis"":""Trinarningsih, Wahyu""},{""Penulis"":""Anugerah, Adhe Rizky""},{""Penulis"":""Muttaqin, Prafajar Suksessanno""}]","Dewan Direksi BOD memainkan peran penting dalam menentukan efektiven dan kinerja perusahaan yang membuat penelitian di bidang ini mulai tumbuh secara signifikan dalam beberapa tahun terakhir kami melakukan analisis bibliometri dari penelitian BOD dari untuk melihat tren publikasi tentang iniSubjek Kami mengambil total artikel penelitian dengan kata kunci dewan direksi dalam judul artikel untuk analisis lebih lanjut, kami menggunakan perangkat lunak vosviewer untuk membangun peta berdasarkan data jaringan dari publikasi ilmiah yang menunjukkan hubungan antara kata kunci negara dan jurnal penelitian BOD didominasi oleh penulis yang berafiliasi denganLembaga Amerika Serikat dan Eropa dalam hal Kejadian Kata Kunci Penulis Top Setelah Kata Kunci Utama adalah Komposisi Kinerja Perusahaan Komposisi Gender Keragaman Tata Kelola Perusahaan dan Teori Agensi Hasil kami juga menunjukkan bahwa koneksi politik dan penghindaran pajak dapat menerima lebih banyak perhatian di tahun -tahun terakhir dan mendatangUntuk yang terbaik dari Pengetahuan Penulis Penelitian ini adalah yang pertama mempelajari bibliometri penelitian BOD tanpa kombinasi kata kunci lainnya penulis artikel ACCE terbuka ini didistribusikan di bawah Creative Commons Attribution CC berdasarkan lisensi","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Design of Cubesat Microstrip Antenna with Metamaterial Structure for LoRa Communication,"[{""Penulis"":""Putra, Naufal A. H.""},{""Penulis"":""Edwar""},{""Penulis"":""Hasbi, Wahyudi""},{""Penulis"":""Manggala, Muhammad P.""},{""Penulis"":""Kusmara, Daffa U.""},{""Penulis"":""Putri, Wiwit M.""},{""Penulis"":""Triyogi, Raihan""},{""Penulis"":""Wirakusuma, Muhammad P.""}]","Karena posisi Indonesia di Ring of Fire menyiratkan potensi bencana sepanjang tahun, ia perlu dikurangi dengan memasang data sensor tanah di seluruh Indonesia termasuk di daerah terpencil tetapi sebagian besar tempat tidak memiliki sinyal komunikasi sistem komunikasi mitigasi berbasis satelit adalah salah satu solusi dalam menghubungkanSensor dan Stasiun Tanah Ini membutuhkan antena yang memiliki ukuran kompak dan kinerja tinggi untuk melakukan sistem komunikasi mitigasi antena microstrip persegi panjang untuk komunikasi LORA dalam rentang frekuensi MHz untuk mitigasi bencana diusulkan untuk meningkatkan kinerja LORA yang memiliki daya rendah dan panjangKarakteristik Kinerja Jarak Antena dibuat dengan substrat RT ROGERS DUROID dan menerapkan resonator cincin split komplementer tunggal CSRR untuk meningkatkan gain dan mengurangi dimensi antena berdasarkan simulasi antena pengembalian LO DB DB DBI dan polarisasi elips dengan rasio aksial DB pengukuran menunjukkan bahwa DBI dan elips polarisasi dengan rasio aksial DB menunjukkan bahwa DBI dan elips polarisasi dengan rasio aksial DB menunjukkan pada DBI dan elips polarisasi dengan rasio aksial DB menunjukkan pada DBI dan elips polarisasi dengan rasio aksial DB menunjukkan pada DBI dan elips polarisasi dengan rasio aksial DB menunjukkan the dbikinerja pengembalian lo db gain dbi dan antena elips dengan rasio aksial db IEEE","1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1","SDG1,SDG11,SDG17"
Weights-Based Energy-Efficient Wireless Sensor Network Protocol with Firefly Synchronization for Illegal Logging,"[{""Penulis"":""Mutiara, Giva Andriana""},{""Penulis"":""Mohd, Othman""},{""Penulis"":""Suryana, Nanna""},{""Penulis"":""Pee, Ahmad Naim Che""}]","Upaya untuk meminimalkan penebangan ilegal dengan memanfaatkan teknologi canggih seperti jaringan sensor wirele WSN sangat dibutuhkan WSN adalah solusi komunikasi antara sensor jarak jauh yang berlokasi di area hutan luas yang terisolasi namun tantangan WSN di daerah terpencil dan luas memiliki batasan sumber daya energi penelitian iniproposed a weights based energy efficient wsn data communication protocol with firefly synchronization  namely firefly synchronization multi hop   geographical energy aware routing  fsm gear  protocol  this protocol aimed to increase the network lifetime of each node by shortening the transmi ion distance  firefly synchronization between sensors is conducted to reduceWaktu tunggu transmisi data Pendekatan berbasis bobot dalam fase seleksi CH head cluster dan analisis konsumsi energi diformulasikan sesuai dengan perbandingan antara jarak terdekat dengan gateway dan energi residu maksimum dari setiap node berdasarkan indikator kekuatan sinyal yang diterima, roda gigi FSM berbasis bobot R I yang ditulisAnalisis kinerja dilakukan berdasarkan parameter energi residual seumur hidup jaringan dan throughput dengan gigi yang dimodifikasi dan peningkatan protokol gigi yang dimodifikasi sebagai perbandingan hasil simulasi menyatakan bahwa protokol gigi FSM menunjukkan energi residu seumur hidup yang lebih baik dan throughput daripada kedua protokol semua hak dilindungi undang","0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",SDG7
A new approach to stimulate rural entrepreneurship through village-owned enterprises in Indonesia,"[{""Penulis"":""Kania, Ikeu""},{""Penulis"":""Anggadwita, Grisna""},{""Penulis"":""Alamanda, Dini Turipanam""}]",purpose  village owned enterprises  in this study called badan usaha milik desa  bumdes   are rural communities economic empowerment program developed by the indonesian government to encourage the growth of rural entrepreneurship by using the potential of locally owned resources  however  the implementation and effect of the bumdes program are questionableDengan demikian penelitian ini bertujuan untuk menyelidiki peran Bumdes dalam mendorong kewirausahaan pedesaan dan memperkuat pengembangan ekonomi pedesaan sebagai tambahan penelitian ini juga mengeksplorasi tantangan dalam mengimplementasikan pendekatan metodologi desain program BUMDES Studi ini menggunakan metode kualitatif dengan data pendekatan studi data diperoleh melalui IN INDWawancara mendalam menggunakan teknik pengambilan sampel purposive untuk orang -orang utama dalam manajemen di lima bumdes di Garut Regency West Java Indonesia yang telah berhasil menerapkan temuan program Bumdes.pengembangan kapasitas dan dukungan dan keterlibatan semua pemangku kepentingan Bumdes ditetapkan sesuai dengan kebijakan pemerintah berdasarkan prosedur diskusi desa sebagai budaya rakyat Indonesia dengan melibatkan unsur -unsur pemerintah desa dan masyarakat namun tantangan dalam menerapkan bumdesmasih dihadapi oleh manajer termasuk implementasi dan ketidakcocokan peraturan kurangnya sumber daya manusia yang memenuhi syarat dan kurangnya sinergi antara pemerintah desa dan keterbatasan penelitian bumdes implikasi dalam penelitian ini pengembangan program pemberdayaan ekonomi lokal sebagai pendorong kewirausahaan pedesaan dilakukan dalam tersebut dilakukan di dalamnya.Konteks Indonesia Selain itu berdasarkan sifat unik dari studi kasus yang membuat studi ini hanya dapat diimplementasikan dalam kasus yang memiliki karakteristik yang sama oleh karena itu dalam konteks negara lain dapat dilakukan dengan memodifikasi hasil yang diperoleh berdasarkan kondisi dan potensi masing -masing wilayahNilai orisinalitas Meskipun pengakuan kewirausahaan adalah salah satu penentu utama penelitian empiris pembangunan ekonomi pedesaan di bidang ini relatif jarang sehingga penelitian ini menambahkan perspektif baru tentang program Bumdes sebagai upaya untuk menumbuhkan wirausaha pedesaan Emerald Publishing Limited,"1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1","SDG1,SDG8,SDG17"
Automatic limit switch calibrator for control valve at steam turbine of a geothermal power plant,"[{""Penulis"":""Megantoro, Prisma""},{""Penulis"":""Latif, Abdul""},{""Penulis"":""Pramudita, Brahmantya Aji""},{""Penulis"":""Vigneshwaran P.""}]",Pengukuran tingkat cairan dalam katup uap harus membutuhkan nilai yang tepat. Instrumen yang dirancang dalam artikel ini digunakan untuk mengetahui seberapa tepat sakelar batas digunakan sebagai katup kontrol indikator pada titik -titik tertentu teknik pengukuran akan diimplementasikan pada katup kontrol pada panas bumi geotermalPower Plant Perangkat ini menggunakan papan arduino karena prosedur data atau dan memodifikasi sinyal data caliper vernier untuk mengukur katup yang membuka lapisan LCD TFT digunakan untuk menampilkan hasil pengukuran dan kalibrasi. Hasil uji perangkat ini menunjukkan bahwaPerangkat ini memiliki tingkat akurasi lebih dari sekadar Institut Teknik Lanjutan dan Sains Semua Hak Dilindungi Undang -Undang,"0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0","SDG7,SDG9"
Planning for NB-IoT Smart City Network Deployment in Bandung Areas,"[{""Penulis"":""Sihotang, Maruli Tua Baja""},{""Penulis"":""Nashiruddin, Muhammad Imam""},{""Penulis"":""Murti, Muhammad Ary""}]","Sempit Internet of Things NB IoT muncul sebagai komunikasi rendah yang menjanjikan jaringan luas jaringan luas LPWAN yang dilisensikan dalam skenario penelitian yang digunakan untuk Cerdas Smart karena kebutuhan akan layanan, perlu menganalisis kebutuhan eNodeB di Kota Bandung Jumlah EnodeBadalah alasan untuk menganalisis model analitik dan simulasi NB IoT Cakupan Persyaratan Hasil menunjukkan bahwa rata -rata tingkat sinyal terbaik yang diterima untuk semua area Kota Bandung adalah DBM DB adalah sinyal rata -rata untuk rasio SNR berdasarkan analisis perencanaan kapasitas NB IoT dan NB danSimulasi yang dibutuhkan ENODEB di Area Bandung adalah dari Situs IEEE","1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0","SDG1,SDG11"
Advance Driving Assistance Systems: Object Detection and Distance Estimation Using Deep Learning,"[{""Penulis"":""Adz-Dzikri, Ahmad Alfi""},{""Penulis"":""Virgono, Agus""},{""Penulis"":""Dirgantara, Fussy Mentari""}]",Sebagian besar kecelakaan lalu lintas disebabkan oleh kecelakaan tabrakan kendaraan kesalahan manusia dapat terjadi karena pengemudi salah menghitung jarak antara kendaraan lain untuk mencegah kecelakaan jenis ini kami mengimplementasikan sistem pengemudi lanjutan untuk memperkirakan objek jarak dan objek yang diterapkan arsitektur yang diterapkan untuk arsitekturDeteksi objek adalah MobileNetV Efficientnet dan VGGNET Metode lokalisasi menggunakan metode estimasi jarak detektor D DETICT D menggunakan pendekatan prediksi kedalaman menggunakan pembelajaran yang mendalam dengan kepedihan dan monodepth sebagai arsitektur pembelajaran yang mendalam dalam tes eksperimen deteksi objek menggunakan kitti dan dataset pascal skor tertinggi dicapai oleh dicapai oleh Object ExperimenArsitektur MobileNetV dengan ketepatan rata -rata rata -rata dalam hal arsitektur pembelajaran yang mendalam untuk perbandingan estimasi jarak dari kedalaman prediksi dan jarak aktual menunjukkan bahwa kepadatan memiliki kesalahan terendah dengan meter kesalahan rata -rata selama cuaca dan meter berawan selama Institut Cuaca Cerah Lanjutan dan Sains Advanced Institute Advanced Lanjutan Advanced AdvancedIaes,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",SDG3
